file,radius_threshold,volume
craters_5.csv,1.4,746.7325402338791
craters_5.csv,1.4,770.5979013358445
craters_5.csv,1.4,743.8079788674356
craters_5.csv,1.4,685.3191258481387
craters_5.csv,1.4,721.5893498474709
craters_5.csv,1.4,746.7664563259531
craters_5.csv,1.4,813.0054268527497
craters_5.csv,1.4,736.6342042837298
craters_5.csv,1.6,776.6228876056012
craters_5.csv,1.6,858.8859185185953
craters_5.csv,1.6,847.4836460634288
craters_5.csv,1.6,770.5979013358445
craters_5.csv,1.6,743.8079788674356
craters_5.csv,1.6,685.3191258481387
craters_5.csv,1.6,721.5893498474709
craters_5.csv,1.6,746.7664563259531
craters_5.csv,1.6,813.0054268527497
craters_5.csv,1.6,841.6984364821313
craters_5.csv,1.8,922.5866407116997
craters_5.csv,1.8,858.8859185185953
